,,AUR,Comp %,Sales $,Comp %,Comp % (2YR),Comp % (r4W 2YR),Sales Units,Comp %,Comp % (2YR),Comp % (r4W 2YR),In Stock %,In Stock % v LY,In Stock BPS v LW
028I,028-027-POOL,$15.63,9.2%," $4,739,959 ",8.5%,31.9%,23.9%," 303,191 ",-0.6%,16.1%,8.7%,91.1%,0.3%,-80
028I,028-020-FIRE,$59.38,44.5%," $1,368,805 ",64.4%,136.9%,86.5%," 23,052 ",13.7%,81.0%,53.5%,98.7%,8.0%,380
028I,028-007-GENERATORS,$806.28,2.8%," $2,377,803 ",-7.7%,-28.3%,33.1%," 2,951 ",-10.2%,-25.9%,38.1%,78.9%,-9.1%,224
028I,028-033-CHORE,$377.35,20.9%," $1,104,407 ",8.8%,51.8%,37.7%," 2,927 ",-10.1%,30.0%,16.1%,86.1%,13.7%,-32
028I,028-024-PUBLICATIONS,$14.69,-0.3%," $4,641 ",-44.8%,-55.7%,-52.3%, 316 ,-44.6%,-59.4%,-56.6%,85.7%,-10.6%,0
028I,028-029-WATER GARDENING,$0.00,-100.0%, $(123),-36.6%,273.2%,1686.9%, -   ,-100.0%,-100.0%,3400.0%,0.0%,0.0%,0
028I,028-056-MISC,,,#N/A,#N/A,#N/A,0.0%,#N/A,#N/A,#N/A,0.0%,#N/A,#N/A,#N/A
028I,028-005-OUTDOOR RECREATION,$107.96,-0.3%," $(28,228)",-40.4%,-1064.7%,-1878.4%, (261),-40.2%,-226.0%,-209.9%,0.0%,0.0%,0
028O Total,,$6.29,7.3%," $150,022,067 ",-4.4%,41.1%,22.2%," 23,837,316 ",-10.9%,35.7%,11.2%,95.3%,19.7%,-10
028O,028-008-LIVE GOODS,$8.37,0.9%," $42,101,340 ",-1.2%,51.2%,26.8%," 5,031,855 ",-2.0%,34.5%,11.1%,0.0%,0.0%,0
028O,028-001-CHEMICALS,$9.34,0.2%," $35,420,771 ",0.5%,32.9%,13.1%," 3,795,270 ",0.4%,30.6%,8.7%,96.7%,8.9%,-31
028O,028-028-HARDSCAPES,$2.69,13.5%," $18,148,055 ",-6.2%,50.1%,33.1%," 6,751,394 ",-17.4%,43.2%,25.7%,96.4%,14.5%,13
028O,028-003-SOILS AND AMENDMENTS,$5.44,5.5%," $11,684,350 ",-18.3%,38.9%,28.2%," 2,148,898 ",-22.6%,31.2%,10.8%,96.3%,28.6%,-6
028O,028-009-PLANTERS,$7.59,2.3%," $9,083,038 ",-11.8%,49.5%,36.3%," 1,195,889 ",-13.8%,40.7%,27.2%,93.7%,36.4%,-6
028O,028-006-SEED,$9.11,7.3%," $6,679,246 ",-10.3%,42.6%,28.0%," 733,864 ",-16.4%,31.6%,19.6%,97.0%,14.3%,14
028O,028-002-FERTILIZERS,$16.35,4.7%," $8,144,958 ",-12.1%,24.2%,13.3%," 498,379 ",-16.0%,16.6%,7.9%,96.5%,9.6%,55
028O,028-019-MULCH,$3.19,-0.6%," $8,058,556 ",-12.4%,19.5%,-4.4%," 2,528,698 ",-11.9%,35.3%,-20.1%,96.4%,4.2%,53
028O,028-023-LAWN ACCESSORIES,$9.28,17.6%," $10,692,157 ",16.6%,47.0%,32.0%," 1,151,721 ",-0.8%,33.5%,25.7%,90.9%,34.9%,-38
028O,028-016-PET SUPPLIES,$76.74,-8626.7%, $(384),-10758.3%,-91.3%,-97.3%, (5),25.0%,-89.8%,-98.6%,0.0%,0.0%,0
028O,028-012-DECORATIVE HOLIDAY,$7.26,-45.5%," $9,815 ",-84.0%,730.6%,-78.9%," 1,352 ",-70.7%,-46.4%,-88.4%,0.0%,-100.0%,0
