,,AUR,Comp %,Sales $,Comp %,Comp % (2YR),Comp % (r4W 2YR),Sales Units,Comp %,Comp % (2YR),Comp % (r4W 2YR),In Stock %,In Stock % v LY,In Stock BPS v LW
028I,028-027-POOL,$15.69,9.0%," $4,819,898 ",8.3%,33.3%,23.7%," 307,147 ",-0.6%,16.7%,8.8%,91.9%,0.0%,-21
028I,028-020-FIRE,$58.06,78.8%," $1,531,476 ",170.2%,100.9%,93.4%," 26,380 ",51.1%,61.7%,52.3%,94.9%,4.5%,-318
028I,028-007-GENERATORS,$781.89,-2.8%," $4,343,071 ",56.6%,-3.9%,73.2%," 5,553 ",61.0%,-4.8%,75.9%,76.6%,-10.1%,126
028I,028-033-CHORE,$356.43,14.3%," $1,225,896 ",13.7%,41.1%,42.8%," 3,440 ",-0.5%,23.4%,21.9%,86.4%,53.6%,-36
028I,028-024-PUBLICATIONS,$14.58,-0.4%," $4,358 ",-43.4%,-50.8%,-50.2%, 299 ,-43.2%,-56.3%,-54.0%,85.7%,-10.7%,0
028I,028-029-WATER GARDENING,$22.43,-32.6%, $(561),237.0%,0.0%,0.0%, (25),400.0%,0.0%,0.0%,0.0%,0.0%,0
028I,028-056-MISC,$0.00,-100.0%, $-   ,0.0%,0.0%,0.0%, -   ,0.0%,0.0%,0.0%,0.0%,0.0%,0
028I,028-005-OUTDOOR RECREATION,$118.55,23.0%," $(20,391)",-56.8%,2156.5%,22729.2%, (172),-64.8%,-210.3%,-219.6%,0.0%,0.0%,0
028O Total,,$6.35,7.5%," $162,668,413 ",0.3%,30.5%,20.6%," 25,602,679 ",-6.7%,23.4%,9.4%,95.4%,19.2%,14
028O,028-008-LIVE GOODS,$8.40,3.0%," $46,933,313 ",6.0%,37.2%,24.3%," 5,590,215 ",2.9%,21.0%,9.2%,0.0%,0.0%,0
028O,028-001-CHEMICALS,$9.44,0.0%," $35,426,536 ",-1.6%,19.9%,11.0%," 3,752,042 ",-1.7%,18.5%,5.8%,97.0%,7.9%,-6
028O,028-028-HARDSCAPES,$2.70,14.1%," $19,451,692 ",-0.1%,40.0%,31.3%," 7,204,092 ",-12.4%,29.9%,23.4%,96.3%,15.0%,-31
028O,028-003-SOILS AND AMENDMENTS,$5.65,8.1%," $13,212,996 ",-9.2%,35.0%,28.2%," 2,336,079 ",-16.0%,19.2%,10.1%,96.4%,38.9%,-4
028O,028-009-PLANTERS,$7.94,5.9%," $9,977,186 ",-6.5%,49.4%,35.2%," 1,256,383 ",-11.7%,34.8%,26.4%,93.7%,35.6%,68
028O,028-006-SEED,$9.00,6.6%," $7,462,140 ",-3.9%,34.5%,24.3%," 829,814 ",-9.8%,28.3%,16.9%,96.9%,15.3%,39
028O,028-002-FERTILIZERS,$16.50,2.8%," $9,158,360 ",-7.8%,16.2%,9.6%," 555,164 ",-10.4%,11.3%,6.0%,96.0%,8.5%,51
028O,028-019-MULCH,$3.33,1.7%," $9,098,626 ",-2.5%,7.6%,-4.5%," 2,733,137 ",-4.1%,16.3%,-21.0%,95.8%,4.4%,-39
028O,028-023-LAWN ACCESSORIES,$8.88,21.3%," $11,940,080 ",18.2%,38.9%,32.2%," 1,344,537 ",-2.6%,31.4%,27.5%,91.2%,32.3%,-73
028O,028-016-PET SUPPLIES,$0.00,-100.0%, $(8),-99.4%,-99.8%,-97.0%, -   ,-100.0%,-100.0%,-97.8%,0.0%,0.0%,0
028O,028-012-DECORATIVE HOLIDAY,$6.16,-46.4%," $7,491 ",-89.5%,-47.1%,-81.2%," 1,216 ",-80.4%,-81.6%,-86.5%,0.0%,-100.0%,0
